# side,index,x,y
0.000000000000000000e+00,0.000000000000000000e+00,7.409025974025972801e+02,5.926948051948052125e+02
0.000000000000000000e+00,1.000000000000000000e+00,9.786168831168829456e+02,6.940974025974026063e+02
0.000000000000000000e+00,2.000000000000000000e+00,8.888506493506491779e+02,4.730064935064935980e+02
0.000000000000000000e+00,3.000000000000000000e+00,1.104954545454545269e+03,5.544610389610389802e+02
0.000000000000000000e+00,4.000000000000000000e+00,7.458896103896101977e+02,7.888506493506492916e+02
0.000000000000000000e+00,5.000000000000000000e+00,9.586688311688309341e+02,8.919155844155843624e+02
0.000000000000000000e+00,6.000000000000000000e+00,1.080019480519480339e+03,7.439675324675324646e+02
0.000000000000000000e+00,7.000000000000000000e+00,1.520538961038960679e+03,4.098376623376624366e+02
1.000000000000000000e+00,0.000000000000000000e+00,3.203311688311682701e+02,5.478116883116883855e+02
1.000000000000000000e+00,1.000000000000000000e+00,4.267207792207786952e+02,6.475519480519481021e+02
1.000000000000000000e+00,2.000000000000000000e+00,5.397597402597398286e+02,4.713441558441559209e+02
1.000000000000000000e+00,3.000000000000000000e+00,6.611103896103891202e+02,5.594480519480520115e+02
1.000000000000000000e+00,4.000000000000000000e+00,3.652142857142853245e+02,7.356558441558441928e+02
1.000000000000000000e+00,5.000000000000000000e+00,4.682792207792203953e+02,8.503571428571428896e+02
1.000000000000000000e+00,6.000000000000000000e+00,6.810584415584412454e+02,7.556038961038962043e+02
1.000000000000000000e+00,7.000000000000000000e+00,1.201370129870129404e+03,4.912922077922078188e+02
